AppID,Feature ID
1,1
1,2
1,3
1,7
1,10
2,1
2,2
2,3
2,4
2,7
2,10
3,1
3,2
3,3
3,5
3,7
3,8
3,10
4,1
4,2
4,3
4,4
4,7
4,8
4,9
4,10
5,1
5,2
5,3
5,4
5,7
5,8
6,1
6,2
7,3
7,4
8,3
8,4
9,5
9,6
10,10
11,10
12,1
12,2
12,10
13,10
14,11
14,12
15,11
15,12
16,11
16,12
17,11
17,12
18,11
18,12
19,13
19,14
20,13
20,14
21,13
21,14
22,13
23,13
23,14
24,13
24,14
25,15
26,15
26,16
27,16
28,15
28,16
29,15
29,16
30,15
30,16
31,18
32,18
33,19
34,19
35,19
36,18
37,17
37,19
38,17
39,17
40,17
41,20
42,20
43,20
44,21
45,21
45,22
46,23
46,24
47,23
47,24
48,23
48,24
