AppID,Permissions required
1,"1,3,4,5,2,9,10,12"
2,"1,2,3,4,5,7,8,9,10,12"
3,"1,2,3,4,5,12"
4,"1,2,4,5,9,3"
5,"3,5,9,1,6,2,4"
6,"1,12,3,4,5,2,8,9"
7,"4,5,10"
8,"1,3,4,5,2,8,9"
9,"5,11,1,3,4,2,8"
10,"1,2,3,4,5,6,8,9"
11,"1,3,4,5,2,8,9"
12,"1,3,4,2,8"
13,"1,2,3,4,5,9"
14,"1,3,4,8"
15,"2,4,5,8"
16,"4,3,5,2,8,9"
17,"6,1,3,4,5,2,9"
18,"1,4,5,2,8"
19,"4,2,8"
20,"4,5,9,3"
21,"1,3,4,5,9"
22,"1,3,4,5,2,9"
23,"1,4,2"
24,"1,4,2,9"
25,"3,4,5,9"
26,"3,1,4"
27,"3,2,5"
28,"4,5"
29,"1,3,4,9"
30,"2,3,4"
31,"4,5,2,1,3,9"
32,"1,5,9,3,4,2,10"
33,"5,1,4,9"
34,"1,5,3,4,2,9,10"
35,"5,1,3,4,2,9"
36,"1,3,4,5,2,9"
37,"2,1,3,4,5,8,9,10"
38,"1,3,4,5,2,9,10"
39,"6,1,4,5,2,10"
40,"1,4,5,9"
41,"5,11,1"
42,"1,3,4,9,11"
43,"8,12,1,3,4,5,2,9"
44,"5,1,3,4,2,8,9,10"
45,"3,5,9,1,4,10"
46,"1,3,4,5,2,9,10"
47,"1,3,4,5,2,9,10"
48,"1,3,5,2,9,10"
