AppID,Permissions required
1,1
1,3
1,4
1,5
1,2
1,9
1,10
1,12
4,1
4,2
4,4
4,5
4,9
4,3
5,3
5,5
5,9
5,1
5,6
5,2
5,4
6,1
6,12
6,3
6,4
6,5
6,2
6,8
6,9
8,1
8,3
8,4
8,5
8,2
8,8
8,9
9,5
9,11
9,1
9,3
9,4
9,2
9,8
10,12
10,1
10,3
10,2
10,9
10,4
11,1
11,2
11,3
11,4
11,5
11,6
11,8
11,9
12,1
12,3
12,4
12,5
12,2
12,8
12,9
13,1
13,3
13,4
13,2
13,8
15,1
15,3
15,4
15,8
16,2
16,4
16,5
16,8
17,4
17,3
17,5
17,2
17,8
17,9
18,6
18,1
18,3
18,4
18,5
18,2
18,9
19,1
19,4
19,5
19,2
19,8
20,4
20,2
20,8
21,4
21,5
21,9
21,3
22,1
22,3
22,4
22,5
22,9
23,1
23,3
23,4
23,5
23,2
23,9
24,1
24,4
24,2
25,1
25,4
25,2
25,9
26,3
26,4
26,5
26,9
27,3
27,1
27,4
28,3
28,2
28,5
30,1
30,3
30,4
30,9
32,4
32,5
32,2
32,1
32,3
32,9
33,1
33,5
33,9
33,3
33,4
33,2
33,10
34,5
34,1
34,4
34,9
35,1
35,5
35,3
35,4
35,2
35,9
35,10
36,5
36,1
36,3
36,4
36,2
36,9
37,1
37,3
37,4
37,5
37,2
37,9
38,2
38,1
38,3
38,4
38,5
38,8
38,9
38,10
39,1
39,3
39,4
39,5
39,2
39,9
39,10
40,6
40,1
40,4
40,5
40,2
40,10
41,1
41,4
41,5
41,9
42,5
42,11
42,1
43,1
43,3
43,4
43,9
43,11
44,8
44,12
44,1
44,3
44,4
44,5
44,2
44,9
45,5
45,1
45,3
45,4
45,2
45,8
45,9
45,10
46,3
46,5
46,9
46,1
46,4
46,10
47,1
47,3
47,4
47,5
47,2
47,9
47,10
48,1
48,3
48,4
48,5
48,2
48,9
48,10
49,1
49,3
49,5
49,2
49,9
49,10
